title,abstract,mark
中国企业造得出疫苗却造不出疫苗瓶？,2017 年前，我国还无法实现疫苗瓶的量产，但如今已成功突破这项技术瓶颈。,1
注射了新冠疫苗不用戴口罩？,钟南山表示，答案是否定的。,1
感染新冠病毒可以治癌症？,面对新冠病毒，癌症患者更加需要注意。,1
多喝茶可以清除新冠病毒？,目前尚无证据证明喝茶可以预防新冠病毒。,3
憋气 20 秒可以检测肺部是否健康？,人憋气时间的长短只是粗略反映人体对于缺氧和高二氧化碳耐受的程度。,1
病毒会在咽喉滞留 4 天，还能补救？,这种说法目前尚无研究数据支撑。,3
桑拿、汗蒸能预防新冠病毒？,很遗憾，无法杀死病毒。,1
上海 27 日起对入沪车辆逢车必检？,系去年旧闻！,1
江苏一超市柜台商品及人员涉疫？,如东县疾控中心紧急辟谣。,1
进口的冷链食品不能买了？,张文宏说买进口商品被感染概率低于空难。,1
上海某区正进行全员核酸检测？,相关信息不属实。,1
哈尔滨香坊区 70 多人核酸阳性？,经核查，此信息为谣言。,1
疫情期间大强度锻炼可提高抵抗力？,国家体育总局体育科学研究所研究员徐建方：长时间大强度的运动，会导致身体机能失调，免疫功能下降,1
吃降压药会增加感染病毒的风险？,丁香医生团队辟谣：目前没有任何动物和临床研究数据证实这种说法的可靠性,1
第一例新冠肺炎患者来自美国？,丁香医生团队查证：系翻译错误,1
新冠病毒传播途径有变化？,科技部社会发展科技司司长吴远彬：目前研究结论显示，呼吸道飞沫和密切接触传播仍然是主要传播途径,1
十三名男女生感染 sk5 病毒？,丁香医生团队查证：该谣言系 2018 年的旧谣言，造谣者已被查处,1
十年前就有人预测疫情？,上海图书馆查证：没有找到传闻里提到的这本书，同名文章也没有相关内容,1
戴多层口罩才能防住病毒?,丁香医生团队辟谣：佩戴多层口罩可能造成呼吸不畅,1
确诊者家中的狗检测呈弱阳性？,香港食卫局长陈肇始强调：虽查到弱阳性，但无证据显示狗会传播新冠病毒给人,2
家畜家禽海鲜都不能吃了？,丁香医生团队辟谣：正规家畜家禽海鲜都能吃,1
多喝单枞茶多吃草莓可防肺炎？,经查证：系编造,1
新冠病毒可以通过蚊虫叮咬传播？,丁香医生团队辟谣：目前没有证据,1
中间层烧不着的口罩才是真的？,解放日报辟谣：口罩是否可以被点燃，不是鉴别口罩真伪的标准,1
喝茶可以预防新冠病毒？,丁香医生团队辟谣：补水挺好，预防病毒没用,1
体温枪伤眼，造成永久伤害？,浙江省眼科医院眼底病中心医生毛剑波：别多虑，如果觉得不舒服，闭眼即可,1
燃放烟花可以预防新冠病毒?,丁香医生团队辟谣：不仅不能「杀毒」，还对健康有害,1
磷酸氯喹就是原来的土霉素？,丁香医生团队辟谣：土霉素和磷酸氯喹的分子式不同，化学结构不同，所属药物类别也不同,1
俄罗斯证实新冠病毒系人工合成？,俄卫生部回应：从未指出病毒是人工合成,1
每次外出回家都需要洗头？,中国疾控中心研究员冯录召：一般情况下，公众外出回家后不需要专门洗头或消毒,1
新冠病毒会通过皮肤侵入人体？,中科院院士周琪：新冠病毒不能通过皮肤侵入人体,1
新冠病毒可能会长期存在？,中国工程院副院长王辰：可能性是完全存在的，我们要做好准备,2
牛蛙被列入禁食名单？,相关部门：未发布相关名单,1
地铁票会传播新冠病毒？,中国疾控中心研究员冯录召：循环使用的地铁票沾染病毒的概率非常低。,3
防溢乳垫贴在口罩内可延长使用时间？,丁香医生团队辟谣：防溢乳垫不靠谱，无法保障防护效果,1
蜂疗能治愈新冠肺炎？,丁香医生团队辟谣：目前没有证据表明蜂疗能治愈新冠肺炎,1
新冠病毒可能伤睾丸和伤肾？,丁香医生团队：目前仅有一篇论文提到，并非定论,3
磷酸氯喹是新冠肺炎特效药？,钟南山院士：目前磷酸氯喹还谈不上是特效药，但是有一定的帮助,3
家用空气净化器能过滤病毒吗？,中国疾控中心研究员冯录召：不一定有效，仍然建议多通风,3
精油芳疗可以预防新冠肺炎？,丁香医生团队辟谣：或许可以调节心情，但并不能预防新冠肺炎,1
红糖和姜葱蒜熬水喝可防新冠病毒？,丁香医生团队辟谣：又难喝又没用，何必折腾自己呢,1
银离子抗菌液能杀灭新冠病毒？,清华大学化学系孙亚飞博士：尚无权威机构证实银离子对新冠病毒的作用，不推荐只用这种办法消毒,1
盐水漱口能预防感染新冠病毒？,钟南山院士团队辟谣：漱口没有办法清洁呼吸道,1
零号病人是武汉病毒研究所研究生？,中国科学院武汉病毒研究所声明：黄燕玲未曾被 2019 新型冠状病毒感染，身体健康,1
千万别出门玩雪，会感染新冠病毒？,北京地坛医院感染病急诊主任王凌航：不用担心新冠病毒会通过雪来传染,1
别吃鱼，某地有 121 个鱼塘感染？,丁香医生团队查证：各城市版本的均为编造，正规渠道售卖的仍可放心吃,1
出现流涕和咳痰就不是新冠肺炎？,丁香医生团队辟谣：根据是否流鼻涕和咳痰就果断判定不是新冠肺炎，是不准确的,1
某家的猪崽会说话，是瘟疫的前兆?,丁香医生团队辟谣：系谣言，造谣女子已被行拘,1
环保酵素可以消灭新冠病毒？,丁香医生团队辟谣：没有证据支持「环保酵素能消毒」，环保酵素存在安全隐患，且可能是违法产品,1
带毛领或绒线的外套容易吸附病毒？,丁香医生团队辟谣：从流感病毒的性质推测，病毒更喜欢光滑无孔的表面，在毛织品上留存时间更短,1
康复者血液有可能治好新冠肺炎？,中国生物：治疗性新冠特免血浆制品已投入临床，患者重点指标向好，临床体征和症状好转,2
喝高度酒能抵抗新冠病毒?,丁香医生团队辟谣：喝进去不会作用于病毒,1
口罩喷酒精遇 84 消毒瞬间死亡？,楚天都市报记者从多方证实：该消息系谣言,1
烟民感染新冠病毒率远低于非烟民？,钟南山团队回复：不同意这种说法,1
干手器能在 30 秒内杀死新冠病毒？,世界卫生组织辟谣：不能，干手器不能有效杀死新冠病毒。,1
把某些药物敷在脚底可以防病毒？,丁香医生团队辟谣：到目前为止，还没有专门用于预防和治疗新冠病毒的药物,1
候鸟迁徙会携带传播新冠病毒？,剑桥大学病毒学助理研究员韩越：相比哺乳类，鱼、鸟、爬行类成为新冠肺炎中间宿主的可能性很小,1
深呼吸再憋十秒可测是否有肺炎？,丁香医生团队辟谣：真没必要用这样的方式去检查有没有肺炎,1
保持喉咙湿润可以预防病毒？,剑桥大学病毒学助理研究员韩越：没有研究显示频繁喝水能预防新冠病毒感染,1
晒太阳可以杀灭新型冠状病毒？,丁香医生团队辟谣：太阳的照射温度达不到 56℃，且日照紫外线也达不到紫外线消毒灯的强度,1
新冠病毒属于 SARS 病毒？,华中农业大学教授陈焕春解释：完全属于口误,1
洋葱可以预防新冠肺炎？,丁香医生团队辟谣：无论是吃还是闻都不能预防新冠肺炎,1
吃果蔬和肉蛋会感染新冠病毒？,中国疾病预防控制中心研究员冯录召：病毒通过飞沫、直接接触等方式污染到果蔬肉蛋的几率很低,1
口罩里垫一张纸巾，就能反复使用？,丁香医生团队辟谣：在口罩里垫纸巾不能延长口罩寿命，反而影响使用效果,1
新冠病毒可通过气溶胶传播？,丁香医生团队：暂不明确。要重视，但不必恐慌,3
钟南山团队开中药凉茶处方?,广州医科大辟谣：只是个别医生开的方子,1
空气里有气溶胶，绝不能开窗通风？,丁香医生团队辟谣：要分情况，对于一般小区的居民，能开窗通风,1
核酸检验频繁假阴性，有大量漏诊？,丁香医生团队辟谣：「核酸检验」是作为新冠病毒确诊标准，但「核酸检测阴性」不是排除感染的依据,1
电吹风对手和面部吹 30 秒能消毒？,丁香医生团队辟谣：30 秒太短，真吹半小时容易受伤,1
核酸检测转阴后，还有可能复发？,丁香医生团队：仅仅是核酸检测转阴，并不意味着康复,3
不要收现金，会感染新冠病毒？,丁香医生团队：无论何时，接触了现金都要洗手,3
瑞德西韦对治疗新冠肺炎有效？,中日友好医院副院长曹彬教授：临床试验结果未出,3
15 秒未戴口罩接触病患被感染？,丁香医生团队：莫恐慌，可能并非时间长短的问题,3
多喝水多分泌粘液能防新冠病毒？,上海市公共卫生临床中心林逸骁医生：适当多喝水是有好处，但不能预防新冠病毒,1
普通肺炎的疫苗能预防新冠病毒？,世界卫生组织辟谣 ：不能，肺炎球菌疫苗和乙型流感嗜血杆菌疫苗等肺炎疫苗不能预防新冠肺炎,1
自来水采用上限标准加氯消毒？,丁香医生团队辟谣：并无此事。即使添加的氯在国标许可的最上限，也不会对健康造成影响,1
下雪可以杀死病毒？,丁香医生团队：结论存疑，天气与病毒的关系较为复杂，针对新冠病毒尚无定论,3
沐舒坦可以防止新冠肺炎？,丁香医生团队：无充分证据表明沐舒坦能防止新冠肺炎,3
病毒防护卡挂身上能防新冠病毒？,丁香医生团队辟谣：一张卡片杀死新冠病毒？咋不上天呢！,1
用生理盐水洗鼻子可预防新冠病毒？,WHO 辟谣：没有证据表明，经常用生理盐水冲洗鼻子可以防止感染新冠病毒,1
益生菌能提高免疫力预防新冠肺炎？,丁香医生团队辟谣：益生菌是否能提高免疫力都有待商榷，更别说预防新冠肺炎了,1
鞋要与居室隔离，不要放在家里？,丁香医生团队：确实需要注意，建议将外穿的鞋子放置于门外,2
别往空气中喷撒酒精，会爆炸？,清华大学化学系孙亚飞博士：确实要注意,2
有人在身上喷消毒水烧着了？,平安天津辟谣：实为男子杀人未遂后引燃汽油,1
比口罩更重要的是手套？,李兰娟院士辟谣：日常不用戴手套,1
无症状患者也会传播新冠病毒？,丁香医生团队：可能会，但无症状感染者的传播力较弱,3
84 消毒液不能和洁厕灵一起用？,丁香医生团队：确实，含氯消毒剂不能和洁厕灵同时使用，容易产生有毒气体,2
新冠病毒会通过下水道传播？,丁香医生团队：不能排除有这一可能,3
新冠病毒会通过粪口传播？,钟南山院士回应：是有可能的，粪便是否传染病毒值得高度警惕,3
丁香医生说童子尿可预防新冠病毒？,丁香医生团队辟谣：PS 技术挺好，差点自己都信了呢,1
目前还没有可防治新冠病毒的药物？,WHO 证实：到目前为止，还没有专门用于预防和治疗新冠病毒的药物,2
金银花有望防控新冠病毒感染？,丁香医生团队：目前仅有动物实验，实验用的剂量和提取方式，和日常饮食摄入的还是有很大差距。,3
双黄连可以预防新冠病毒？,丁香医生团队辟谣：现有临床研究数据不足，不建议用双黄连预防新冠病毒,1
挂烫机可杀灭衣服上的新冠病毒？,丁香医生团队辟谣：有这闲工夫，不如加点消毒水把衣服洗了,1
用 56℃ 的热水洗澡能对抗病毒？,丁香医生团队辟谣：洗热水澡也无法提升体内温度，不能对抗病毒，还可能会有生命危险。,1
紫外线消毒灯能杀灭新冠病毒？,国家卫健委：冠状病毒对紫外线敏感,2
含姜片可以预防新冠病毒？,丁香医生团队辟谣：目前尚无证据证明姜可以预防病毒，更没有证据证明可以预防新冠病毒,1
怀孕后确诊新冠肺炎，孩子不能要？,国家卫健委：没有母婴传播的证据，但必要的时候会和产科医生等共同讨论是否继续妊娠,3
熏艾可以预防新冠肺炎？,丁香医生团队辟谣：没用，甚至可能中毒,1
用微波炉加热口罩可以消毒？,丁香医生团队辟谣：不可以，不然微波炉和口罩都废了,1
新冠病毒通过眼神对视传播？,丁香医生团队辟谣：系编造，造谣网民已被依法处罚,1
全身喷洒酒精可起到消毒效果？,李兰娟院士辟谣：不能这样做,1
吃大蒜可以杀灭新冠病毒？,丁香医生团队辟谣：不管是直接吃、榨汁喝还是炖冰糖都没用,1
喝 60℃ 的水可以杀死病毒？,丁香医生团队辟谣：人体是恒温的，会散热。真保持体温 56℃ 半小时的话，那杀死的怕不只是病毒了,1
散步会感染新型冠状病毒肺炎？,武汉市第九医院辟谣：我院没出过这样的通知,1
喷嚏一打几米远，病毒可悬浮一天？,丁香医生团队：交流要保持距离；病毒不会在空气中悬浮,3
N95 口罩消毒可继续用？,丁香医生团队：吹风机吹或者喷洒酒精，都可能破坏口罩的保护作用,3
治疗主要靠激素，会成为废人？,李兰娟院士辟谣：现在发生的大量的病人根本就不用激素,1
病毒会存在手机和电梯按键上？,丁香医生团队：接触手机、电梯按键后，需要及时洗手,2
口罩越厚，防病毒效果越好？,丁香医生团队辟谣：口罩厚度不等同于防护效果，医用外科口罩摸上去比较薄，但过滤效率却很高,1
在人中涂风油精可以预防感染？,丁香医生团队辟谣：对预防新冠病毒没有作用,1
武汉来的快递要拒收？,丁香医生团队辟谣：病毒通过快件传播的风险极低，收完快件请及时洗手,1
酒精浓度越高，消毒效果越好？,丁香医生团队辟谣：浓度 60-80% 都有效，65-75% 效果最佳,1
新冠病毒 2018 年就发现了？,中科院辟谣：并非同一种,1
带呼吸阀的口罩没有用？,丁香医生团队辟谣：口罩上有呼吸阀不用担心,1
熏醋可以预防新冠病毒？,丁香医生团队辟谣：熏醋杀不死新型冠状病毒,1
香油滴鼻孔可防病毒传播？,丁香医生团队辟谣：啥效果也不会有,1
服用 VC 可以预防感染？,丁香医生团队：现有研究证据不足，过度服用会中毒,3
吃板蓝根可以预防新冠病毒？,丁香医生团队辟谣：板蓝根对新型冠状病毒无效,1
吃抗生素可以预防新冠病毒?,丁香医生团队辟谣：抗生素作用于细菌，对病毒无效,1
新冠肺炎是香蕉导致的?,丁香医生团队辟谣：香蕉并不是新型冠状病毒的宿主,1
病毒感染的都是老年人?,丁香医生团队辟谣：新冠病毒对所有年龄组都易感,1
不吃野味就不会被感染?,丁香医生团队辟谣：目前新冠病毒的感染已超出人兽范围,1
吃奥司他韦可以预防新冠病毒?,丁香医生团队辟谣：适用于流感治疗，目前还没有证据表明奥司他韦能治疗新冠病毒感染,1
吸烟就能预防病毒?,丁香医生团队辟谣：吸烟没有任何好处,1
出门要戴护目镜?,丁香医生团队辟谣：普通人出门没必要戴,1
身边没有疫情不用戴口罩?,丁香医生团队辟谣：无论有没有疫情，出门都建议戴,1
桑拿、汗蒸能预防新冠病毒?,丁香医生团队辟谣：杀死新冠病毒至少需要 56℃，30 分钟,1
吃乳铁蛋白能预防新冠病毒?,丁香医生团队辟谣：无证据表明乳铁蛋白对病毒有用,1
没感冒时，口罩反着戴?,丁香医生团队辟谣：口罩正着戴才有用,1
口罩用过要剪碎或消毒?,丁香医生团队辟谣：口罩用过后直接丢弃即可,1
某某城市飞机喷洒消毒药水？,人民日报辟谣：各城市版本的都是谣言！,1
此次疫情系解放军导致?,四川网警辟谣：不实言论！,1
春节燃放烟花可以消毒防感染？,烟花爆竹并不能杀死新冠病毒。,1
